"customer_id","first_name","last_name"
554,"Dwayne","Olvera"
366,"Brandon","Huey"
111,"Carmen","Owens"
590,"Seth","Hannon"
108,"Tracy","Cole"
512,"Cecil","Vines"
44,"Marie","Turner"
349,"Joe","Gilliland"
317,"Edward","Baugh"
422,"Melvin","Ellington"
284,"Sonia","Gregory"
107,"Florence","Woods"
100,"Robin","Hayes"
91,"Lois","Butler"
11,"Lisa","Anderson"
359,"Willie","Markham"
155,"Gail","Knight"
394,"Chris","Brothers"
457,"Bill","Gavin"
107,"Florence","Woods"
505,"Rafael","Abney"
474,"Dustin","Gillette"
208,"Lucy","Wheeler"
190,"Yolanda","Weaver"
421,"Lee","Hawks"
23,"Sarah","Lewis"
64,"Judith","Cox"
87,"Wanda","Patterson"
252,"Mattie","Hoffman"
21,"Michelle","Clark"
263,"Hilda","Hopkins"
234,"Claudia","Fuller"
448,"Miguel","Betancourt"
264,"Gwendolyn","May"
178,"Marion","Snyder"
83,"Louise","Jenkins"
479,"Zachary","Hite"
5,"Elizabeth","Brown"
457,"Bill","Gavin"
410,"Curtis","Irby"
14,"Betty","White"
181,"Ana","Bradley"
192,"Laurie","Lawrence"
452,"Tom","Milner"
335,"Gregory","Mauldin"
56,"Gloria","Cook"
361,"Lawrence","Lawton"
533,"Jessie","Milam"
336,"Joshua","Mark"
592,"Terrance","Roush"
557,"Felix","Gaffney"
229,"Tamara","Nguyen"
75,"Tammy","Sanders"
162,"Lauren","Hudson"
193,"Katie","Elliott"
227,"Colleen","Burton"
43,"Christine","Roberts"
560,"Jordan","Archuleta"
412,"Allen","Butterfield"
200,"Jeanne","Lawson"
388,"Craig","Morrell"
180,"Stacy","Cunningham"
135,"Juanita","Mason"
120,"Sylvia","Ortiz"
53,"Heather","Morris"
267,"Margie","Wade"
560,"Jordan","Archuleta"
43,"Christine","Roberts"
58,"Jean","Bell"
417,"Travis","Estep"
208,"Lucy","Wheeler"
73,"Beverly","Brooks"
497,"Gilbert","Sledge"
75,"Tammy","Sanders"
15,"Helen","Harris"
334,"Raymond","Mcwhorter"
115,"Wendy","Harrison"
186,"Holly","Fox"
22,"Laura","Rodriguez"
251,"Vickie","Brewer"
354,"Justin","Ngo"
219,"Willie","Howell"
42,"Carolyn","Perez"
52,"Julie","Sanchez"
354,"Justin","Ngo"
576,"Morris","Mccarter"
568,"Alberto","Henning"
352,"Albert","Crouse"
374,"Jeremy","Hurtado"
532,"Neil","Renner"
373,"Louis","Leone"
